"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"CHHFJP5M","journalArticle","2022","Kim, Na-Yeon; Kim, Goeun; Sun, Hanna; Hwang, Ui-Seong; Kim, Junyoung; Kwak, Donggeon; Park, I.; Kim, Taesung; Suhr, J.; Nam, J.","A nanoclustered ceria abrasives with low crystallinity and high Ce3+/Ce4+ ratio for scratch reduction and high oxide removal rates in the chemical mechanical planarization","Journal of Materials Science","","","10.1007/S10853-022-07338-X","","","2022","2022-12-25 03:47:32","2024-06-20 20:05:48","","","","","","","","","","","","","","","","","","","","","","tex.litmapsid: 240064685","","/Users/school/Zotero/storage/I7AZECAR/Kim et al_2022_A nanoclustered ceria abrasives with low crystallinity and high Ce3+-Ce4+ ratio.pdf; /Users/school/Documents/Organized Documents/New Me/? Inbox/nanoclustered_kim_2022.md","","#nosource; obsidian","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FXN6UXGH","journalArticle","2002","Wu, Nan-Chun; Shi, Er-Wei; Zheng, Yan-Qing; Li, Wen-Jun","Effect of pH of Medium on Hydrothermal Synthesis of Nanocrystalline Cerium(IV) Oxide Powders","Journal of the American Ceramic Society","","1551-2916","10.1111/j.1151-2916.2002.tb00481.x","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1151-2916.2002.tb00481.x","Well-crystallized cerium(IV) oxide (CeO2) powders with nanosizes without agglomeration have been synthesized by a hydrothermal method in an acidic medium by using cerium hydroxide gel as a precursor. The relationship between the grain size, the morphology of the CeO2 crystallites, and the reaction conditions such as temperature, time, and acidity of the medium was studied. The experiments showed that with increasing reaction temperature and time, the CeO2 crystallites grew larger. The crystallites synthesized in an acidic hydrothermal medium were larger and had a more regular morphology than the ones synthesized in a neutral or alkaline medium when the reaction temperature and time were fixed. The CeO2 crystallites synthesized in an acidic medium were monodispersed; however, there was vigorous agglomeration among the grains synthesized in a neutral or alkaline medium. It was demonstrated that the hydrothermal treatment was an Ostwald ripening process and the acidity (pH) of the used hydrothermal medium played a key role in the dissolution of smaller grains. It is proposed that the dissolution process can control the kinetics of the growth of larger grains.","2002","2023-03-15 00:49:41","2024-07-01 23:10:52","2023-03-15 00:49:41","2462-2468","","10","85","","","","","","","","","","en","","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1151-2916.2002.tb00481.x","","/Users/school/Zotero/storage/D8KC9QTQ/Wu et al. - 2002 - Effect of pH of Medium on Hydrothermal Synthesis o.pdf; /Users/school/Zotero/storage/YNJ4GAHR/Wu et al. - 2002 - Effect of pH of Medium on Hydrothermal Synthesis o.pdf; /Users/school/Zotero/storage/FC6WQB9S/j.1151-2916.2002.tb00481.html; /Users/school/Zotero/storage/9ZIK82A4/Wu et al_2002_Effect of pH of Medium on Hydrothermal Synthesis of Nanocrystalline Cerium(IV).pdf","","synthesis; Exported; Highlighted_box","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3M65S5SI","journalArticle","2015","Srinivasan, Ramanathan; Dandu, Pradeep Vr; Babu, S. V.","Shallow Trench Isolation Chemical Mechanical Planarization: A Review","ECS Journal of Solid State Science and Technology","","2162-8769, 2162-8777","10.1149/2.0071511jss","https://iopscience.iop.org/article/10.1149/2.0071511jss","","2015","2023-05-10 18:07:54","2024-07-28 17:23:29","2023-05-10 18:07:54","P5029-P5039","","11","4","","ECS J. Solid State Sci. Technol.","Shallow Trench Isolation Chemical Mechanical Planarization","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/school/Zotero/storage/VZ4KDE69/Srinivasan et al_2015_Shallow Trench Isolation Chemical Mechanical Planarization.pdf","","to be read asap","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPTAF4EB","journalArticle","2023","Han, Xinyu; Liu, Renhao; Tan, Baimei; Wang, Fangyuan; Yan, Mei; Zhao, Xinyu; Zhao, Jiadong","Research progress on the application of ceria nanoparticles as abrasives in dielectric layer CMP and post cleaning: Structure, morphology, doping, and mechanism","Colloids and Surfaces A: Physicochemical and Engineering Aspects","","09277757","10.1016/j.colsurfa.2023.132551","https://linkinghub.elsevier.com/retrieve/pii/S0927775723016357","","2023-12","2023-10-13 15:13:47","2024-06-20 20:05:53","2023-10-13 15:13:47","132551","","","679","","Colloids and Surfaces A: Physicochemical and Engineering Aspects","Research progress on the application of ceria nanoparticles as abrasives in dielectric layer CMP and post cleaning","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/school/Zotero/storage/SDVA2Z4Z/Han et al. - 2023 - Research progress on the application of ceria nano.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6473CMQS","bookSection","2018","Kim, Hong Jin","Abrasive for Chemical Mechanical Polishing","Abrasive Technology - Characteristics and Applications","978-1-78984-193-0 978-1-78984-194-7","","","http://www.intechopen.com/books/abrasive-technology-characteristics-and-applications/abrasive-for-chemical-mechanical-polishing","","2018-10-24","2023-12-13 15:03:37","2024-07-28 17:16:12","2023-03-24 18:07:17","","","","","","","","","","","","InTech","","en","","","","","DOI.org (Crossref)","","DOI: 10.5772/intechopen.75408","","/Users/school/Zotero/storage/4DEYRN3Y/Kim_2018_Abrasive for Chemical Mechanical Polishing.pdf","","Unsaved","","Rudawska, Anna","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DJVU26G8","journalArticle","2021","Seo, Jihoon","A review on chemical and mechanical phenomena at the wafer interface during chemical mechanical planarization","Journal of Materials Research","","0884-2914, 2044-5326","10.1557/s43578-020-00060-x","https://link.springer.com/10.1557/s43578-020-00060-x","Abstract             As the minimum feature size of integrated circuit elements has shrunk below 7 nm, chemical mechanical planarization (CMP) technology has grown by leaps and bounds over the past several decades. There has been a growing interest in understanding the fundamental science and technology of CMP, which has continued to lag behind advances in technology. This review paper provides a comprehensive overview of various chemical and mechanical phenomena such as contact mechanics, lubrication models, chemical reaction that occur between slurry components and films being polished, electrochemical reactions, adsorption behavior and mechanism, temperature effects, and the complex interactions occurring at the wafer interface during polishing. It also provides important insights into new strategies and novel concepts for next‐generation CMP slurries. Finally, the challenges and future research directions related to the chemical and mechanical process and slurry chemistry are highlighted.","2021-01-15","2024-01-04 20:01:24","2024-08-22 18:57:40","2024-01-04 20:01:24","235-257","","1","36","","Journal of Materials Research","","","","","","","","en","","","","","DOI.org (Crossref)","11","11","","/Users/school/Zotero/storage/IKAC38GA/Seo - 2021 - A review on chemical and mechanical phenomena at t.pdf","","Exported","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4TBU9G4Y","journalArticle","2020","Menon, Sarath; Manu, Shiv Kumar; Victoria, S Noyel; Manivannan, R","Influence of pH and calcination temperature on the properties of synthesized ceria","J. Indian Chem. Soc.","","","","","Ceria particles are now extensively used in chemical mechanical polishing of glass, which makes them a promising material for semiconductor industry. In this work, a facile co-precipitation route was adopted to synthesis ceria particles. Cerium nitrate hexahydrate and sodium carbonate were used as the precursors. Study of the effect of pH and calcination temperature on synthesized ceria particles were carried out in detail. The surface morphology was found to be influenced significantly by change in solution pH, as evinced from SEM results. XRD spectra revealed improvement in crystallite size for synthesized nanoceria calcined at different temperatures.","2020","2024-03-12 02:13:57","2024-03-12 02:13:57","","","","","97","","","","","","","","","","en","","","","","Zotero","","","","/Users/school/Zotero/storage/LI67MET2/Menon et al. - 2020 - Influence of pH and calcination temperature on the.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YPCW8FPW","journalArticle","2007","Kim, Jun-Seok; Kang, Hyun-Goo; Kanemoto, Manabu; Paik, Ungyu; Park, Jea-Gun","Effects of Calcination and Milling Process Conditions for Ceria Slurry on Shallow-Trench-Isolation Chemical–Mechanical Polishing Performance","Japanese Journal of Applied Physics","","0021-4922, 1347-4065","10.1143/JJAP.46.7671","https://iopscience.iop.org/article/10.1143/JJAP.46.7671","","2007-12-01","2024-03-12 02:25:56","2024-07-02 00:13:30","2024-03-12 02:25:55","7671","","12R","46","","jjap","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/school/Zotero/storage/CUNZPUAP/Kim et al. - 2007 - Effects of Calcination and Milling Process Conditi.pdf","","synthesis; Solid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45FP5VS6","patent","2012","Sakurada, Takafumi; Hosaka, Daisuke; Chinone, Kanshi","Method of producing oxide particles, slurry, polishing slurry, and method of polishing substrate","","","","","https://patents.google.com/patent/US8328893B2/en","","2012-12-11","2024-03-12 02:30:09","2024-07-28 17:17:38","2024-03-12 02:30:08","","","","","","","","","","","","","","en","","","","","","","","","/Users/school/Zotero/storage/5KWNDCC9/Sakurada et al_2012_Method of producing oxide particles, slurry, polishing slurry, and method of.pdf","","","","","","","","","","","","","","","","","","","","","","US8328893B2","","","","","","2007-04-20","US12226545","Hitachi Chemical Co Ltd","United States","US","","","","","","","","","","","","","","","","",""
"A3Y8KWNW","journalArticle","2016","Janoš, Pavel; Ederer, Jakub; Pilařová, Věra; Henych, Jiří; Tolasz, Jakub; Milde, David; Opletal, Tomáš","Chemical mechanical glass polishing with cerium oxide: Effect of selected physico-chemical characteristics on polishing efficiency","Wear","","0043-1648","10.1016/j.wear.2016.05.020","https://www.sciencedirect.com/science/article/pii/S0043164816301053","Cerium oxide with an excellent glass polishing efficiency was prepared by annealing carbonate or oxalate precursors. The temperature of calcination was identified as a critical parameter that governs the key properties, including the polishing efficiency, of the polishing powders; conversely, the time of calcination appears to be less important. Only the cerium oxides prepared at temperatures above 700°C exhibited good glass polishing capabilities in terms of both the material removal rate and the quality of the polished surface; the maximum polishing efficiency was produced by the samples annealed at 1050°C. Polishing powders were characterized using X-ray diffraction (XRD), advanced microscopic techniques (SEM, TEM), Brunauer–Emmett–Teller (BET) surface area, X-ray photoelectron spectroscopy (XPS) and other techniques. Detailed XRD and microscopic investigations revealed a strong correlation between the crystallinity of cerium oxide and its polishing efficiency, which is consistent with the mechanical effect of the polishing mechanism. However, XPS measurements suggest that the chemical characteristics, namely the presence of the Ce3+ ions, also play an important role in glass polishing and planarization. Both mechanical and chemical contributions to the polishing process are influenced by the calcination temperature.","2016-09-15","2024-03-12 02:32:31","2024-07-28 17:16:29","2023-10-19 02:51:23","114-120","","","362-363","","Wear","Chemical mechanical glass polishing with cerium oxide","","","","","","","","","","","","ScienceDirect","","","","/Users/school/Zotero/storage/PCEAH48E/Janoš et al. - 2016 - Chemical mechanical glass polishing with cerium ox.pdf; /Users/school/Zotero/storage/83U32TXD/S0043164816301053.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
